"ZCTA","Total_Doses","People_1_dose","People_all_doses"
"76660",77,48,29
"76661",1271,925,346
"76664",420,297,123
"76665",417,247,170
"76666",41,29,12
"76667",1900,1271,629
"76670",192,139,53
"76671",273,181,92
"76673",123,82,41
"76676",60,41,19
"76678",33,23,10
"76679",290,208,82
"76680",47,30,17
"76681",91,67,24
"76682",531,361,170
"76685",18,11,7
"76686",43,30,13
"76687",300,204,96
"76689",685,450,235
"76690",179,115,64
"76691",1338,934,400
"76692",1973,1241,732
"76693",194,137,57
"76701",212,153,59
"76704",945,688,257
"76705",3427,2468,959
"76706",4509,3121,1388
"76707",1821,1290,531
"76708",4533,3067,1466
"76710",5933,3951,1982
"76711",1135,839,296
"76712",9300,6061,3239
"76798",28,18,10
"76801",2876,2097,779
"76802",779,521,258
"76820",40,33,7
"76821",1061,651,410
"76823",295,213,82
"76824",9,7,0
"76825",1023,793,230
"76827",71,47,24
"76828",24,14,10
"76831",28,18,10
"76832",40,34,6
"76834",989,653,336
"76836",10,7,0
"76837",384,341,43
"76841",18,17,0
"76842",43,37,6
"76844",881,560,321
"76845",26,17,9
"76848",16,13,0
"76849",840,618,222
"76852",53,39,14
"76853",152,112,40
"76854",36,32,0
"76856",1009,808,201
"76857",221,153,68
"76858",38,32,6
"76859",650,498,152
"76861",355,239,116
"76862",47,39,8
"76864",145,99,46
"76865",36,21,15
"76866",138,100,38
"76869",35,28,7
"76870",37,31,6
"76871",75,57,18
"76872",146,106,40
"76873",7,6,0
"76874",19,13,6
"76875",186,118,68
"76877",240,175,65
"76878",203,123,80
"76882",36,28,8
"76884",36,22,14
"76885",15,12,0
"76887",32,23,9
"76888",42,25,17
"76890",114,77,37
"76901",6592,4301,2291
"76903",5944,3992,1952
"76904",10412,6872,3540
"76905",2022,1355,667
"76908",10,7,0
"76930",21,16,0
"76932",622,490,132
"76933",254,173,81
"76934",346,286,60
"76935",379,264,115
"76936",572,440,132
"76937",57,39,18
"76939",42,26,16
"76940",36,24,12
"76941",188,140,48
"76943",822,565,257
"76945",345,258,87
"76950",556,366,190
"76951",149,115,34
"76953",0,0,0
"76955",37,27,10
"76957",122,75,47
"76958",74,57,17
"77002",2173,1391,776
"77003",2010,1325,685
"77004",7978,4935,3043
"77005",13526,8143,5383
"77006",7992,4897,3095
"77007",10104,6462,3642
"77008",13424,8487,4934
"77009",6613,4368,2245
"77010",202,126,76
"77011",2064,1399,665
"77012",1608,1111,497
"77013",1471,1022,442
"77014",3438,2229,1209
"77015",5058,3406,1652
"77016",3117,2226,891
"77017",3484,2357,1121
"77018",5986,3971,2010
"77019",8429,5235,3194
"77020",2755,1812,943
"77021",5192,3334,1858
"77022",2813,1940,865
"77023",3998,2626,1372
"77024",23865,14558,9307
"77025",11610,6991,4619
"77026",2025,1366,657
"77027",6606,4116,2490
"77028",1858,1347,511
"77029",1897,1284,613
"77030",20965,12411,8554
"77031",2553,1686,867
"77032",768,521,247
"77033",3333,2233,1100
"77034",3666,2426,1240
"77035",6738,4221,2517
"77036",7112,4746,2366
"77037",1295,889,406
"77038",1995,1365,630
"77039",1988,1350,638
"77040",6098,4093,1997
"77041",5829,3925,1904
"77042",5366,3555,1807
"77043",3971,2655,1316
"77044",5398,3544,1854
"77045",5349,3529,1820
"77046",787,485,302
"77047",5113,3310,1803
"77048",2672,1813,859
"77049",3503,2356,1147
"77050",457,322,135
"77051",2252,1497,755
"77053",3607,2508,1099
"77054",8174,4755,3419
"77055",7329,4841,2488
"77056",9698,6203,3495
"77057",8620,5588,3030
